,0
0,1
1,1
2,22
3,25
4,39
5,58
6,62
7,87
8,89
9,90
10,91
11,104
12,109
13,119
14,120
15,126
16,146
17,165
18,178
19,198
20,219
21,221
22,230
23,239
24,255
25,256
26,263
27,270
28,278
29,296
30,298
31,307
32,307
33,341
34,345
35,348
36,376
37,399
38,409
39,416
40,422
41,428
42,438
43,439
44,447
45,476
46,483
47,501
48,506
49,506
50,532
51,547
52,550
53,571
54,602
55,603
56,615
57,653
58,681
59,683
60,700
61,705
62,718
63,722
64,726
65,730
66,755
67,755
68,764
69,814
70,816
71,824
72,825
73,825
74,826
75,830
76,844
77,851
78,879
79,897
80,902
81,920
82,928
83,929
84,969
85,1001
86,1011
87,1029
88,1043
89,1056
90,1071
91,1081
92,1083
93,1095
94,1105
95,1112
96,1127
97,1134
98,1135
99,1158
100,1162
101,1163
102,1168
103,1178
104,1187
105,1192
106,1215
107,1223
108,1229
109,1230
110,1234
111,1236
112,1241
113,1252
114,1268
115,1283
116,1295
117,1328
118,1331
119,1342
120,1348
121,1385
122,1389
123,1398
124,1403
125,1407
126,1436
127,1463
128,1469
129,1475
130,1499
131,1507
132,1509
133,1516
134,1545
135,1551
136,1571
137,1576
138,1579
139,1583
140,1587
141,1594
142,1605
143,1609
144,1638
145,1659
146,1661
147,1680
148,1680
149,1683
150,1690
151,1700
152,1701
153,1720
154,1740
155,1754
156,1765
157,1766
158,1791
159,1799
160,1800
161,1803
162,1810
163,1816
164,1838
165,1846
166,1852
167,1885
168,1885
169,1911
170,1918
171,1942
172,1951
173,1952
174,1984
175,1985
176,1995
177,1998
178,1999
179,2015
180,2017
181,2031
182,2041
183,2063
184,2063
185,2095
186,2112
187,2118
188,2158
189,2173
190,2181
191,2182
192,2210
193,2214
194,2221
195,2234
196,2236
197,2236
198,2240
199,2251
200,2254
201,2257
202,2259
203,2262
204,2265
205,2296
206,2300
207,2329
208,2349
209,2356
210,2360
211,2364
212,2385
213,2412
214,2434
215,2451
216,2466
217,2467
218,2482
219,2487
220,2495
221,2498
222,2499
223,2512
224,2534
225,2556
226,2558
227,2562
228,2567
229,2577
230,2581
231,2588
232,2588
233,2612
234,2620
235,2627
236,2630
237,2634
238,2678
239,2682
240,2712
241,2715
242,2724
243,2732
244,2738
245,2760
246,2769
247,2770
248,2773
249,2806
250,2809
251,2811
252,2815
253,2819
254,2828
255,2837
256,2838
257,2842
258,2852
259,2878
260,2880
261,2881
262,2891
263,2894
264,2918
265,2921
266,2923
267,2925
268,2926
269,2947
270,2949
271,2960
272,2981
273,2989
274,3005
275,3019
276,3038
277,3073
278,3079
279,3096
280,3112
281,3122
282,3136
283,3137
284,3140
285,3151
286,3154
287,3187
288,3197
289,3240
290,3242
291,3242
292,3252
293,3261
294,3263
295,3270
296,3306
297,3330
298,3335
299,3336
300,3361
301,3368
302,3369
303,3381
304,3393
305,3396
306,3398
307,3408
308,3410
309,3429
310,3433
311,3437
312,3438
313,3445
314,3454
315,3477
316,3486
317,3502
318,3534
319,3552
320,3555
321,3581
322,3583
323,3586
324,3602
325,3634
326,3639
327,3652
328,3662
329,3663
330,3678
331,3688
332,3689
333,3692
334,3699
335,3699
336,3721
337,3739
338,3744
339,3754
340,3763
341,3765
342,3776
343,3801
344,3821
345,3860
346,3861
347,3903
348,3905
349,3911
350,3916
351,3920
352,3923
353,3925
354,3936
355,3942
356,3944
357,3944
358,3945
359,3956
360,3958
361,3974
362,3986
363,3990
364,3991
365,3992
366,3995
367,3998
368,4009
369,4013
370,4028
371,4033
372,4051
373,4072
374,4075
375,4083
376,4086
377,4092
378,4100
379,4129
380,4135
381,4147
382,4171
383,4173
384,4182
385,4187
386,4212
387,4233
388,4248
389,4303
390,4323
391,4335
392,4367
393,4376
394,4377
395,4377
396,4379
397,4384
398,4390
399,4403
400,4426
401,4435
402,4445
403,4454
404,4459
405,4465
406,4472
407,4492
408,4495
409,4498
410,4500
411,4502
412,4506
413,4513
414,4515
415,4521
416,4528
417,4533
418,4540
419,4552
420,4565
421,4569
422,4572
423,4583
424,4597
425,4603
426,4614
427,4617
428,4634
429,4649
430,4650
431,4652
432,4652
433,4673
434,4675
435,4676
436,4677
437,4680
438,4681
439,4683
440,4687
441,4721
442,4742
443,4749
444,4751
445,4754
446,4771
447,4779
448,4781
449,4802
450,4808
451,4820
452,4847
453,4856
454,4857
455,4863
456,4864
457,4871
458,4878
459,4887
460,4893
461,4916
462,4916
463,4922
464,4932
465,4934
466,4937
467,4939
468,4944
469,4963
470,4965
471,4985
472,5011
473,5014
474,5017
475,5035
476,5058
477,5067
478,5073
479,5087
480,5107
481,5127
482,5160
483,5166
484,5220
485,5224
486,5261
487,5263
488,5264
489,5270
490,5272
491,5281
492,5285
493,5285
494,5286
495,5298
496,5319
497,5322
498,5342
499,5354
500,5356
501,5359
502,5376
503,5378
504,5378
505,5396
506,5418
507,5419
508,5424
509,5426
510,5433
511,5471
512,5477
513,5487
514,5490
515,5518
516,5519
517,5543
518,5549
519,5552
520,5552
521,5554
522,5565
523,5569
524,5578
525,5580
526,5581
527,5596
528,5619
529,5622
530,5626
531,5658
532,5664
533,5693
534,5709
535,5721
536,5724
537,5727
538,5734
539,5739
540,5766
541,5770
542,5778
543,5779
544,5792
545,5810
546,5812
547,5817
548,5820
549,5824
550,5858
551,5874
552,5893
553,5909
554,5940
555,5941
556,5976
557,5985
558,5997
559,6004
560,6005
561,6009
562,6022
563,6024
564,6035
565,6036
566,6042
567,6047
568,6058
569,6064
570,6065
571,6107
572,6108
573,6110
574,6112
575,6119
576,6127
577,6127
578,6144
579,6147
580,6199
581,6203
582,6209
583,6230
584,6232
585,6234
586,6261
587,6269
588,6270
589,6315
590,6328
591,6338
592,6355
593,6368
594,6379
595,6381
596,6382
597,6386
598,6392
599,6412
600,6415
601,6418
602,6419
603,6421
604,6422
605,6435
606,6447
607,6451
608,6459
609,6470
610,6470
611,6475
612,6488
613,6502
614,6510
615,6515
616,6559
617,6560
618,6571
619,6584
620,6597
621,6617
622,6635
623,6636
624,6644
625,6647
626,6653
627,6667
628,6670
629,6681
630,6685
631,6690
632,6713
633,6722
634,6729
635,6729
636,6733
637,6735
638,6739
639,6740
640,6747
641,6805
642,6807
643,6809
644,6810
645,6812
646,6828
647,6838
648,6840
649,6843
650,6866
651,6878
652,6879
653,6917
654,6923
655,6928
656,6929
657,6931
658,6959
659,7001
660,7009
661,7011
662,7014
663,7043
664,7044
665,7048
666,7052
